image_path,label,sample_id,panel_id,source
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig1_b.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig1,b,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig1_a.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig1,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_10_a.jpg,line chart,atomic-layer-deposition/experimental-usecase/12/fig_10,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_11_a.jpg,line chart,atomic-layer-deposition/experimental-usecase/12/fig_11,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_12_a.jpg,image panel,atomic-layer-deposition/experimental-usecase/12/fig_12,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_2_a.jpg,spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_2,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_3_b.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig_3,b,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_3_a.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig_3,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_4_b.jpg,stacked spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_4,b,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_4_a.jpg,stacked spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_4,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_5_a.jpg,multiple scatter plot,atomic-layer-deposition/experimental-usecase/12/fig_5,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_6_a.jpg,stacked spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_6,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_6_b.jpg,stacked spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_6,b,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_7_a.jpg,multiple scatter plot,atomic-layer-deposition/experimental-usecase/12/fig_7,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_8_a.jpg,scatter plot,atomic-layer-deposition/experimental-usecase/12/fig_8,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_9_a.jpg,scatter plot,atomic-layer-deposition/experimental-usecase/12/fig_9,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_1_a.jpg,multi-axis chart,atomic-layer-deposition/experimental-usecase/13/fig_1,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_2_a.jpg,multi-axis chart,atomic-layer-deposition/experimental-usecase/13/fig_2,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_3_a.jpg,multiple scatter plot,atomic-layer-deposition/experimental-usecase/13/fig_3,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_13_fig_4_a.jpg,image panel,atomic-layer-deposition/experimental-usecase/13/fig_4,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_14_figure_1_a.jpg,conceptual diagram,atomic-layer-deposition/experimental-usecase/14/figure_1,a,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_14_figure_1_b.jpg,image panel,atomic-layer-deposition/experimental-usecase/14/figure_1,b,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_14_figure_1_c.jpg,stacked spectra chart,atomic-layer-deposition/experimental-usecase/14/figure_1,c,competition
/home/jovyan/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_14_figure_2_a.jpg,multi spectra chart,atomic-layer-deposition/experimental-usecase/14/figure_2,a,competition
