image_path,label,sample_id,panel_id,source
/home/jovyan/shared-scratch-tvinchur-pvc/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig1_b.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig1,b,competition
/home/jovyan/shared-scratch-tvinchur-pvc/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig1_a.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig1,a,competition
/home/jovyan/shared-scratch-tvinchur-pvc/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_10_a.jpg,line chart,atomic-layer-deposition/experimental-usecase/12/fig_10,a,competition
/home/jovyan/shared-scratch-tvinchur-pvc/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_11_a.jpg,line chart,atomic-layer-deposition/experimental-usecase/12/fig_11,a,competition
/home/jovyan/shared-scratch-tvinchur-pvc/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_12_a.jpg,image panel,atomic-layer-deposition/experimental-usecase/12/fig_12,a,competition
/home/jovyan/shared-scratch-tvinchur-pvc/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_2_a.jpg,spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_2,a,competition
/home/jovyan/shared-scratch-tvinchur-pvc/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_3_b.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig_3,b,competition
/home/jovyan/shared-scratch-tvinchur-pvc/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_3_a.jpg,apparatus diagram,atomic-layer-deposition/experimental-usecase/12/fig_3,a,competition
/home/jovyan/shared-scratch-tvinchur-pvc/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_4_b.jpg,stacked spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_4,b,competition
/home/jovyan/shared-scratch-tvinchur-pvc/tvinchur/sci_image_miner/data/crops/train/atomic-layer-deposition_experimental-usecase_12_fig_4_a.jpg,stacked spectra chart,atomic-layer-deposition/experimental-usecase/12/fig_4,a,competition
