image_path,sample_id,panel_id,markdown_table
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_3_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_3,a,"| T<sub>dep</sub> (°C) | GPC (Å/cycle) |
|---|---|
| 210 | 6.8 |
| 220 | 6.5 |
| 230 | 6.0 |
| 240 | 5.5 |"
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_3_b.jpg,atomic-layer-deposition/experimental-usecase/8/figure_3,b,"| Pulse length (s) | GPC (Å/cycle) |
|---|---|
| 1 | 5.7 |
| 2 | 6.5 |
| 3 | 7.0 |
| 4 | 7.2 |
| 5 | 7.3 |"
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_3_c.jpg,atomic-layer-deposition/experimental-usecase/8/figure_3,c,"| Cycles | Thickness (nm) |
|---|---|
| 50 | 50 |
| 100 | 75 |
| 150 | 100 |"
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_4_b.jpg,atomic-layer-deposition/experimental-usecase/8/figure_4,b,"| Element | Symbol |
| --- | --- |
| Sc | Sc |
| Y | Y |
| La | La |
| Ce | Ce |
| Pr | Pr |
| Nd | Nd |
| Sm | Sm |
| Eu | Eu |
| Gd | Gd |
| Tb | Tb |
| Dy | Dy |
| Ho | Ho |
| Er | Er |
| Tm | Tm |
| Yb | Yb |
| Lu | Lu |"
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_9_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_9,a,"| 2θ (°) | 0% Cu (Norm.) | 10% Cu (Norm.) | 20% Cu (Norm.) | 30% Cu (Norm.) | 40+% Cu (Norm.) |
|---|---|---|---|---|---|
| 46.8 (Shoulder) | 0.65 | 0.45 | 0.30 | 0.15 | 0.05 |
| 47.5 (Valley) | 0.40 | 0.35 | 0.30 | 0.20 | 0.10 |
| 48.0 (Main Peak) | 1.00 | 1.00 | 1.00 | 1.00 | 1.00 |
| 49.0 | 0.10 | 0.10 | 0.10 | 0.10 | 0.10 |"
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_9_b.jpg,atomic-layer-deposition/experimental-usecase/8/figure_9,b,"| 2θ (°) | Intensity (Norm.) | Feature |
|---|---|---|
| 23.5 | 0.25 | Minor Peak |
| 33.5 | 1.00 | Main Peak |
| 41.0 | 0.15 | Minor Peak |
| 47.8 | 0.20 | Minor Peak |
| 59.5 | 0.15 | Minor Peak |"
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_9_c.jpg,atomic-layer-deposition/experimental-usecase/8/figure_9,c,"| 2θ (°) | Intensity (Norm.) | Assignment |
|---|---|---|
| 13.0 | 0.15 | LSCO(002) |
| 23.0 | 1.00 | Substrate () |
| 25.5 | 0.45 | LSCO(004) |
| 41.5 | 0.40 | LSCO(006) |
| 47.5 | 1.00 | Substrate (*) |
| 55.5 | 0.35 | LSCO(008) |"
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_9_d.jpg,atomic-layer-deposition/experimental-usecase/8/figure_9,d,"| 2θ (°) | on Si₃N₄ (Green) | +3hr 800°C (Black) | on YSZ (Red) | +3hr 800°C (Blue) |
|---|---|---|---|---|
| 28.0 | 0.05 | 0.05 | 0.20 | 0.25 |
| 33.0 | 1.00 | 0.30 | 0.10 | 0.15 |
| 36.5 | 0.20 | 0.80 | 0.85 | 0.90 |
| 38.5 | 0.10 | 1.00 | 1.00 | 1.00 |
| 43.0 | 0.05 | 0.05 | 0.25 | 0.15 |
| 69.0 | 1.00 | 0.25 | 0.20 | 0.10 |"
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_13_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_13,a,"| Sample / Light Source | CIE x | CIE y |
|---|---|---|
| LED lamp (Blue Dot) | 0.40 | 0.39 |
| ALD/MLD thin film (Red Dot) | 0.45 | 0.45 |
| Incandescent bulb (Green Dot) | 0.48 | 0.42 |
| Fluorescent lamp (Black Dot) | 0.50 | 0.46 |"
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_1_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_1,a,"| Year | ALD (Red) | ALD/MLD (Blue) | Total Articles |
|---|---|---|---|
| 1992 | 1 | 0 | 1 |
| 1994 | 2 | 0 | 2 |
| 1997 | 3 | 0 | 3 |
| 1998 | 2 | 0 | 2 |
| 1999 | 1 | 0 | 1 |
| 2001 | 7 | 0 | 7 |
| 2002 | 1 | 0 | 1 |
| 2003 | 3 | 0 | 3 |
| 2004 | 8 | 0 | 8 |
| 2005 | 12 | 0 | 12 |
| 2006 | 10 | 0 | 10 |
| 2007 | 14 | 0 | 14 |
| 2008 | 18 | 0 | 18 |
| 2009 | 21 | 0 | 21 |
| 2010 | 16 | 0 | 16 |
| 2011 | 6 | 0 | 6 |
| 2012 | 10 | 0 | 10 |
| 2013 | 5 | 0 | 5 |
| 2014 | 12 | 0 | 12 |
| 2015 | 5 | 1 | 6 |
| 2016 | 2 | 1 | 3 |
| 2017 | 4 | 1 | 5 |
| 2018 | 9 | 1 | 10 |
| 2019 | 7 | 1 | 8 |
| 2020 | 13 | 1 | 14 |
| 2021 | 12 | 2 | 14 |
| 2022 | 7 | 2 | 9 |
| 2023 | 18 | 4 | 22 |"
