image_path,sample_id,panel_id,summary
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_3_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_3,a,"The graph shows the relationship between deposition temperature (T<sub>dep</sub>) and GPC (Å/cycle). As the temperature increases, GPC decreases."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_3_b.jpg,atomic-layer-deposition/experimental-usecase/8/figure_3,b,The graph illustrates the impact of pulse length on GPC. Longer pulse lengths result in higher GPC values.
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_3_c.jpg,atomic-layer-deposition/experimental-usecase/8/figure_3,c,The line chart demonstrates the increase in thickness with the number of cycles. There's a linear relationship indicating that more cycles lead to thicker layers.
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_4_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_4,a,"Representative rare earth ALD precursor ligand families are shown with example structures (diketonates, cyclopentadienyls, amidinate based, guanidinates, alkoxides, silylamides, acetamidinates, formamidinates). Colored squares indicate which rare earth elements have reported ALD use for each class."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_4_b.jpg,atomic-layer-deposition/experimental-usecase/8/figure_4,b,"Periodic table map of the extended rare earth elements (Sc, Y, La to Lu) used as the color key for the element coding in (a)."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_9_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_9,a,"XRD scans (log intensity) of LaNiCuO3 in a narrow 2θ window for different Cu contents, showing how the peak shape changes with composition."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_9_b.jpg,atomic-layer-deposition/experimental-usecase/8/figure_9,b,"XRD pattern of LaSrCoO3 (noted 700 C), showing multiple diffraction peaks across a wide 2θ range."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_9_c.jpg,atomic-layer-deposition/experimental-usecase/8/figure_9,c,"XRD pattern of LaSrCuO3 with labeled reflections, indicating an oriented diffraction signature."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_9_d.jpg,atomic-layer-deposition/experimental-usecase/8/figure_9,d,"XRD patterns of LaSrMnO3 under different substrate and annealing conditions, comparing peak positions and relative intensities."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_13_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_13,a,"CIE 1931 x y chromaticity diagram with a point for an ALD/MLD thin film emission compared against reference lamp chromaticities (LED, fluorescent, incandescent)."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_8_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_8,a,"The schematic compares three ALD pulsing strategies, doping, homogeneous mixing, and nanolaminates, showing how different sequences of precursor A and precursor B cycles yield different film architectures."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_8_b.jpg,atomic-layer-deposition/experimental-usecase/8/figure_8,b,"A legend defines the color coding for precursor A, precursor B, co reactant, and purging steps used in the pulse sequence cartoons."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_7_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_7,a,"Schematic supercycle for ALD doping: Metal A pulse, O3 pulse, dopant pulse, then O3 pulse, with the sequence repeated X times."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_7_b.jpg,atomic-layer-deposition/experimental-usecase/8/figure_7,b,"Cartoon of the resulting film after one supercycle for different X values (X=1, X=3, X=5), showing increased dopant incorporation as X increases."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_1_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_1,a,"The bar chart shows the number of articles published over time, categorized by ALD and ALD/MLD. The number of ALD articles increases significantly over the years, peaking twice, first in 2009, then decreasing and peaking again in 2023, while ALD/MLD articles only start growing in more recent years."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_2_a.jpg,atomic-layer-deposition/experimental-usecase/8/figure_2,a,"Schematic of a conventional ALD cycle with a metal precursor pulse, purge, O3 pulse, then purge, yielding an inorganic film."
data/crops/train/atomic-layer-deposition_experimental-usecase_8_figure_2_b.jpg,atomic-layer-deposition/experimental-usecase/8/figure_2,b,"Schematic of an ALD/MLD cycle with a metal precursor pulse, purge, organic precursor pulse, then purge, yielding a hybrid metal organic film."
